ID_TRANSAKCJI;NUMER_KONTA;KWOTA;WALUTA;DATA_TRANSAKCJI
TX1001;1234567890;1500.00;PLN;2026-05-01
TX1002;9876543210;45.99;USD;2026-05-10
TX1003;1122334455;1200.50;EUR;2026-05-12
TX1004;12345;500.00;PLN;2026-05-01
TX1005;2233445566;-100.00;PLN;2026-05-05
TX1006;3344556677;250.00;CHF;2026-05-14
TX1007;4455667788;10.00;PLN;2029-01-01
TX1008;5566778899;ABC;PLN;2026-05-14
TX1009;1234567890;75.25;USD;2026-04-30
TX1001;6677889900;100.00;PLN;2026-05-14
TX1010;7788990011;0.00;EUR;2026-05-13
TX1011;8899001122;9999.99;PLN;2026-05-14
TX1012;9900112233;150.00;PLN;
TX1013;0011223344;200.00;USD;2026-05-14
TX1014;11223344556677;1000.00;PLN;2026-05-14
TX1015;1010101010;5.50;PLN;2025-12-31
